open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1769515200000,2913.04,2938.06,2902.23,2933.55,12792867.052,1769529599999,37325293106.70493,94599,7100737.724,20730936881.04367,0
1769529600000,2933.55,2992.18,2915.80,2976.05,16335482.557,1769543999999,48295884897.32975,107481,8686264.286,25690120458.80362,0
1769544000000,2976.05,3030.41,2974.80,3021.88,12993386.954,1769558399999,39103944184.17351,106639,7506864.277,22587346851.94908,0
1769558400000,3021.90,3025.03,2993.13,3000.84,8231009.453,1769572799999,24779341612.36444,88065,3684571.169,11098596698.26271,0
1769572800000,3000.84,3013.08,2988.96,3000.79,6705656.403,1769587199999,20128615977.08472,74737,3296787.945,9899582788.20554,0
1769587200000,3000.38,3040.20,2983.17,3035.52,8669151.244,1769601599999,26090902422.13192,87992,4972767.928,14988568134.15760,0
1769601600000,3035.21,3038.51,2982.49,3002.51,12582292.895,1769615999999,37955111576.30930,104400,5602815.975,16914422864.23191,0
1769616000000,3002.51,3024.06,2987.23,3012.60,15167490.489,1769630399999,45578908110.66825,108436,8497884.673,25554027354.92787,0
1769630400000,3012.60,3027.34,2992.78,3005.96,10837960.985,1769644799999,32636639498.60161,95133,5444470.311,16404960915.12051,0
1769644800000,3005.82,3007.73,2941.72,2947.83,11722644.052,1769659199999,34879272802.97664,99236,4511318.123,13425812268.18376,0
1769659200000,2947.77,2959.96,2933.74,2956.66,8282681.045,1769673599999,24435397424.20392,87623,4764523.606,14061877831.86169,0
1769673600000,2956.23,2962.98,2919.92,2924.47,8045670.889,1769687999999,23669931726.19534,84871,3355096.025,9872949457.11229,0
1769688000000,2924.53,2933.97,2794.13,2819.08,15996212.662,1769702399999,45888095246.86182,104458,5812601.964,16670845121.99017,0
1769702400000,2819.08,2854.82,2755.50,2792.23,22315927.525,1769716799999,62634977946.93723,119445,11194395.980,31444229510.29557,0
1769716800000,2792.28,2822.17,2784.46,2817.51,11115034.508,1769731199999,31178749823.26669,90691,6638566.671,18632901308.15512,0
