open_time,open,high,low,close,volume
2025-11-03 16:00:00,3594.63,3983.0,3565.0,3612.0,155066.77
2025-11-03 16:30:00,3784.96,3973.51,3604.19,3621.3,91405.123
2025-11-03 17:00:00,3621.29,3979.3,3612.86,3637.91,68106.47
2025-11-03 17:30:00,3749.99,3750.0,3637.91,3666.35,47204.91
2025-11-03 18:00:00,3666.35,3741.91,3652.61,3652.61,86492.496
2025-11-03 18:30:00,3652.62,3697.0,3632.19,3632.19,103611.958
2025-11-03 19:00:00,3687.99,3734.0,3622.0,3663.0,83650.51
2025-11-03 19:30:00,3622.72,3694.63,3622.69,3630.06,104644.615
2025-11-03 20:00:00,3680.0,3755.0,3595.75,3602.21,130433.069
2025-11-03 20:30:00,3670.0,3736.94,3565.0,3586.63,154235.659
2025-11-03 21:00:00,3586.62,3641.95,3562.97,3586.15,104896.071
2025-11-03 21:30:00,3586.15,3627.39,3584.08,3599.04,50896.251
2025-11-03 22:00:00,3599.04,3625.0,3580.28,3625.0,121395.188
2025-11-03 22:30:00,3625.0,3625.0,3565.29,3596.48,56865.735
2025-11-03 23:00:00,3614.99,3620.0,3567.2,3600.82,83928.512
2025-11-03 23:30:00,3619.99,3627.39,3590.71,3602.32,48797.667
2025-11-04 00:00:00,3602.32,3641.95,3569.88,3570.77,120294.447
2025-11-04 00:30:00,3605.74,3641.95,3568.72,3616.99,60963.831
2025-11-04 01:00:00,3617.0,3641.95,3609.34,3626.78,50890.147
2025-11-04 01:30:00,3626.78,3641.95,3625.73,3641.95,37584.128
2025-11-04 02:00:00,3641.77,3646.0,3631.24,3633.8,59915.388
2025-11-04 02:30:00,3633.44,3640.63,3620.53,3630.33,48444.999
2025-11-04 03:00:00,3630.34,3647.14,3621.74,3645.43,89217.757
2025-11-04 03:30:00,3646.0,3648.58,3637.84,3644.99,10347.454
2025-11-04 04:00:00,3644.99,3647.37,3634.64,3636.16,24864.652
2025-11-04 04:30:00,3636.12,3641.37,3621.17,3621.54,53823.613
2025-11-04 05:00:00,3621.54,3628.19,3561.52,3564.26,351000.704
2025-11-04 05:30:00,3564.25,3564.26,3492.25,3495.1,468098.237
2025-11-04 06:00:00,3498.18,3555.86,3486.61,3530.0,469683.423
2025-11-04 06:30:00,3529.99,3532.11,3502.15,3511.91,95901.049
2025-11-04 07:00:00,3513.01,3513.01,3482.83,3483.8,304138.428
2025-11-04 07:30:00,3484.07,3502.83,3476.35,3492.0,179407.246
2025-11-04 08:00:00,3492.56,3494.86,3461.76,3489.68,272670.639
2025-11-04 08:30:00,3491.81,3509.17,3485.91,3490.13,164883.53
2025-11-04 09:00:00,3490.13,3497.87,3479.4,3489.23,97240.112
2025-11-04 09:30:00,3481.12,3497.53,3481.11,3490.82,61971.567
2025-11-04 10:00:00,3490.01,3497.16,3483.94,3483.94,28095.845
2025-11-04 10:30:00,3494.43,3495.34,3473.53,3480.0,68148.354
2025-11-04 11:00:00,3480.0,3520.8,3476.54,3509.3,172737.325
2025-11-04 11:30:00,3509.3,3524.0,3508.53,3524.0,68133.89
2025-11-04 12:00:00,3522.56,3527.43,3504.34,3508.0,87657.522
2025-11-04 12:30:00,3509.1,3510.69,3497.48,3508.99,40414.633
2025-11-04 13:00:00,3508.59,3518.0,3494.91,3498.06,94159.594
2025-11-04 13:30:00,3500.42,3519.31,3496.86,3506.97,134251.479
2025-11-04 14:00:00,3506.96,3509.25,3492.97,3495.41,34000.213
2025-11-04 14:30:00,3495.4,3558.38,3474.36,3555.28,478662.467
2025-11-04 15:00:00,3558.37,3581.71,3543.5,3567.07,347704.243
2025-11-04 15:30:00,3574.55,3574.56,3496.8,3504.62,422153.168
2025-11-04 16:00:00,3507.99,3515.03,3459.9,3477.68,355496.346
2025-11-04 16:30:00,3478.58,3483.57,3427.72,3432.13,429430.692
2025-11-04 17:00:00,3431.06,3432.13,3368.59,3382.33,711583.48
2025-11-04 17:30:00,3382.85,3413.68,3365.99,3367.05,294541.309
2025-11-04 18:00:00,3367.04,3369.99,3315.19,3319.09,670210.148
2025-11-04 18:30:00,3319.61,3321.07,3262.34,3302.25,1043207.564
2025-11-04 19:00:00,3302.25,3312.56,3285.84,3291.36,301926.708
2025-11-04 19:30:00,3291.37,3295.49,3228.59,3229.69,490889.037
2025-11-04 20:00:00,3229.68,3246.58,3132.84,3182.49,921871.444
2025-11-04 20:30:00,3187.08,3221.18,3154.71,3212.84,901531.945
2025-11-04 21:00:00,3212.83,3213.29,3163.59,3166.08,368059.264
2025-11-04 21:30:00,3166.08,3208.29,3065.85,3208.29,1587927.676
2025-11-04 22:00:00,3208.28,3265.96,3201.82,3256.69,573983.724
2025-11-04 22:30:00,3256.68,3279.52,3228.43,3238.35,600428.797
2025-11-04 23:00:00,3238.34,3301.78,3234.61,3274.61,640411.124
2025-11-04 23:30:00,3275.0,3297.25,3270.97,3287.5,81156.597
2025-11-05 00:00:00,3293.54,3297.59,3256.51,3256.64,335462.366
2025-11-05 00:30:00,3256.64,3260.65,3228.37,3245.85,303918.442
2025-11-05 01:00:00,3240.08,3245.85,3169.59,3179.66,620972.707
2025-11-05 01:30:00,3180.85,3248.13,3171.74,3247.87,849838.584
2025-11-05 02:00:00,3248.12,3283.18,3246.61,3264.95,700548.649
2025-11-05 02:30:00,3264.94,3323.08,3260.2,3323.08,341555.366
2025-11-05 03:00:00,3323.07,3331.12,3306.36,3327.95,210753.473
2025-11-05 03:30:00,3331.11,3346.04,3326.95,3333.45,82251.179
2025-11-05 04:00:00,3333.49,3340.24,3314.07,3314.49,71843.845
2025-11-05 04:30:00,3314.43,3342.93,3313.86,3327.28,293508.526
2025-11-05 05:00:00,3327.27,3347.68,3322.42,3332.67,112714.577
2025-11-05 05:30:00,3333.43,3342.0,3323.58,3325.0,24638.097
2025-11-05 06:00:00,3325.24,3335.6,3315.3,3319.99,139981.235
2025-11-05 06:30:00,3319.99,3333.13,3318.84,3332.63,36499.521
2025-11-05 07:00:00,3332.62,3332.63,3306.36,3318.96,85511.874
2025-11-05 07:30:00,3319.2,3337.67,3316.58,3330.0,63860.446
2025-11-05 08:00:00,3330.0,3337.67,3285.55,3292.62,270337.571
2025-11-05 08:30:00,3291.75,3308.0,3283.61,3300.33,291856.506
2025-11-05 09:00:00,3300.33,3317.96,3293.23,3308.0,235554.095
2025-11-05 09:30:00,3308.0,3310.39,3294.8,3306.15,18868.073
2025-11-05 10:00:00,3305.95,3307.21,3287.32,3294.44,85831.922
2025-11-05 10:30:00,3294.75,3298.9,3276.77,3278.77,57730.919
2025-11-05 11:00:00,3278.77,3305.35,3276.04,3298.36,141689.431
2025-11-05 11:30:00,3298.39,3321.35,3298.12,3320.85,140107.679
2025-11-05 12:00:00,3320.85,3353.39,3312.72,3352.96,232383.667
2025-11-05 12:30:00,3352.99,3353.0,3332.88,3342.16,98218.923
2025-11-05 13:00:00,3342.15,3346.84,3324.5,3333.66,45708.962
