open_time,open,high,low,close,volume
2025-11-04,3602.32,3648.58,3065.85,3287.5,14970115.939
2025-11-05,3293.54,3477.79,3169.59,3423.42,9061449.176
2025-11-06,3423.29,3453.51,3247.82,3312.99,12725853.301
2025-11-07,3312.98,3468.7,3197.26,3432.48,8552951.979
2025-11-08,3432.48,3475.2,3356.6,3400.07,3518937.693
2025-11-09,3402.91,3617.56,3358.62,3581.3,3891750.214
2025-11-10,3581.3,3921.76,3187.0,3568.52,7151897.597
2025-11-11,3568.54,3977.0,3300.0,3416.32,5768268.455
2025-11-12,3416.33,3585.13,3373.34,3406.9,6967688.109
2025-11-13,3406.9,3558.38,3155.18,3233.52,12161816.341
2025-11-14,3238.28,3450.0,3074.84,3111.2,16569934.441
2025-11-15,3111.22,3260.0,3105.26,3166.55,5410506.812
2025-11-16,3166.55,3256.0,3014.09,3094.43,9040929.296
2025-11-17,3093.69,3230.0,2961.22,3027.17,10793317.745
2025-11-18,3026.15,3222.0,2953.23,3122.2,11227413.654
2025-11-19,3122.2,3122.96,2874.73,3024.62,11903556.144
2025-11-20,3024.66,3055.61,2797.44,2833.07,10879976.384
2025-11-21,2833.31,2882.37,2629.09,2764.33,15426175.554
2025-11-22,2764.63,2794.06,2705.47,2769.06,5628798.788
2025-11-23,2769.25,2856.07,2767.36,2800.94,6478238.365
2025-11-24,2800.75,2979.84,2763.9,2952.19,9020271.394
2025-11-25,2951.92,3215.0,2792.73,2958.24,6948134.453
2025-11-26,2958.24,3040.53,2792.73,3025.57,5286635.926
2025-11-27,3025.96,3200.0,2729.64,3014.28,3708076.077
2025-11-28,3014.28,3090.78,2994.76,3029.91,4696551.949
2025-11-29,3029.92,3182.91,2968.96,2988.6,2778251.075
2025-11-30,2988.6,3049.13,2742.46,2990.9,2116689.643
2025-12-01,2990.9,3150.0,2522.0,2798.77,7287136.87
2025-12-02,2798.43,3030.96,2785.03,2994.82,4913176.987
2025-12-03,2994.83,3209.24,2751.16,3187.24,4878414.536
