open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1770297300000,2055.06,2057.85,2047.08,2048.52,2011676.574,1770298199999,4130328622.51104,7643,428765.943,880943693.56756,0
1770298200000,2048.53,2060.88,2047.29,2052.58,2485448.817,1770299099999,5106332109.06556,8312,1368261.107,2812712004.33218,0
1770299100000,2052.58,2058.86,2048.67,2054.29,1840217.163,1770299999999,3778897510.02526,7731,881421.244,1811258649.71166,0
1770300000000,2054.27,2078.60,2054.23,2061.17,2527753.518,1770300899999,5221229309.66647,8178,1613677.720,3334231028.12156,0
1770300900000,2061.17,2073.90,2052.20,2072.90,1718238.875,1770301799999,3544685268.09855,5968,1419823.567,2930945336.12164,0
1770301800000,2072.90,2097.15,2065.10,2084.87,2524093.407,1770302699999,5250558065.35213,6569,1822177.703,3791288556.52441,0
1770302700000,2084.19,2088.69,2041.10,2044.23,3100567.267,1770303599999,6407198606.76222,7968,460260.483,954896353.62335,0
1770303600000,2044.23,2048.18,1992.89,1992.90,3643905.641,1770304499999,7356397114.65760,8952,649791.355,1313613069.21452,0
1770304500000,1992.90,2007.03,1938.09,1938.09,2435458.192,1770305399999,4812514564.96889,6687,502030.619,1000700663.79781,0
1770305400000,1938.09,1963.23,1926.96,1959.30,2017823.268,1770306299999,3923466211.84067,5829,906698.981,1768797668.06486,0
1770306300000,1959.31,1977.25,1939.78,1956.64,2859168.464,1770307199999,5604613657.22757,7358,1456757.601,2859899278.86202,0
1770307200000,1956.91,1962.00,1941.45,1949.73,3346134.341,1770308099999,6527867751.47737,8754,1218704.640,2381033643.04950,0
1770308100000,1949.73,1988.12,1947.18,1981.06,3324626.337,1770308999999,6543468196.77478,8713,2700715.528,5314518158.94370,0
1770309000000,1981.35,1991.73,1969.58,1969.88,2667302.076,1770309899999,5282791311.81998,7652,1115464.757,2212951772.50033,0
1770309900000,1969.92,2009.75,1960.62,1993.77,2872860.120,1770310799999,5705526107.91478,7561,1933584.983,3843884600.13445,0
1770310800000,1993.77,1994.44,1966.01,1972.29,2884904.535,1770311699999,5708763603.59776,7961,787309.458,1558388656.29687,0
1770311700000,1972.29,1985.70,1944.50,1976.17,3244846.949,1770312599999,6382645719.24565,8292,1469907.941,2897692527.49774,0
1770312600000,1976.17,1980.87,1950.85,1968.03,3644506.066,1770313499999,7153893867.29411,9185,1931055.489,3793295645.32758,0
1770313500000,1968.03,1973.76,1949.96,1950.35,2813979.306,1770314399999,5516292045.21473,8119,687429.430,1352446405.53269,0
1770314400000,1950.35,1961.09,1948.08,1957.60,2567445.178,1770315299999,5021174705.18704,7728,1973635.163,3860749205.28923,0
1770315300000,1957.45,1962.10,1926.18,1931.85,3473942.992,1770316199999,6742159646.23095,9135,784298.083,1527092081.49100,0
1770316200000,1931.85,1936.51,1918.88,1920.82,3255936.541,1770317099999,6278756060.61935,8913,1148178.201,2216350671.70136,0
1770317100000,1920.82,1951.24,1913.92,1945.06,2906402.304,1770317999999,5608539932.57751,7504,1836636.740,3552579023.68421,0
1770318000000,1945.07,1945.92,1927.37,1933.92,2825117.515,1770318899999,5468815831.38369,6976,1098047.826,2127408326.37810,0
1770318900000,1933.72,1942.33,1923.93,1932.54,2771642.826,1770319799999,5357694245.09343,8626,1375441.837,2661317404.79334,0
1770319800000,1932.54,1939.34,1929.08,1929.08,2519706.522,1770320699999,4873324580.70418,7544,1560116.898,3018863487.83479,0
1770320700000,1929.19,1930.34,1914.23,1924.39,2512690.570,1770321599999,4829287118.50729,8138,991876.511,1906232173.27074,0
