open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1770307200000,1956.91,2009.75,1913.92,1924.39,11908011.0445,1770310799999,23250250180.91065,32700,5653100.87125,11056200945.931408,0
1770310800000,1956.91,2009.75,1913.92,1924.39,11908011.0445,1770314399999,23250250180.91065,32700,5653100.87125,11056200945.931408,0
1770314400000,1956.91,2009.75,1913.92,1924.39,11908011.0445,1770317999999,23250250180.91065,32700,5653100.87125,11056200945.931408,0
1770318000000,1956.91,2009.75,1913.92,1924.39,11908011.0445,1770321599999,23250250180.91065,32700,5653100.87125,11056200945.931408,0
1770321600000,1924.39,1937.13,1817.16,1823.07,14713248.18525,1770325199999,27455187707.07107,34702,6363815.87525,11893206799.115826,0
1770325200000,1924.39,1937.13,1817.16,1823.07,14713248.18525,1770328799999,27455187707.07107,34702,6363815.87525,11893206799.115826,0
1770328800000,1924.39,1937.13,1817.16,1823.07,14713248.18525,1770332399999,27455187707.07107,34702,6363815.87525,11893206799.115826,0
1770332400000,1924.39,1937.13,1817.16,1823.07,14713248.18525,1770335999999,27455187707.07107,34702,6363815.87525,11893206799.115826,0
1770336000000,1823.14,1940.59,1739.67,1889.34,12265624.3505,1770339599999,23034394732.75094,31143,6670922.83675,12545658578.721045,0
1770339600000,1823.14,1940.59,1739.67,1889.34,12265624.3505,1770343199999,23034394732.75094,31143,6670922.83675,12545658578.721045,0
1770343200000,1823.14,1940.59,1739.67,1889.34,12265624.3505,1770346799999,23034394732.75094,31143,6670922.83675,12545658578.721045,0
1770346800000,1823.14,1940.59,1739.67,1889.34,12265624.3505,1770350399999,23034394732.75094,31143,6670922.83675,12545658578.721045,0
1770350400000,1889.26,1970.38,1883.68,1895.57,9043904.84975,1770353999999,17338426621.112106,28325,4779550.89225,9162046909.524643,0
1770354000000,1889.26,1970.38,1883.68,1895.57,9043904.84975,1770357599999,17338426621.112106,28325,4779550.89225,9162046909.524643,0
1770357600000,1889.26,1970.38,1883.68,1895.57,9043904.84975,1770361199999,17338426621.112106,28325,4779550.89225,9162046909.524643,0
1770361200000,1889.26,1970.38,1883.68,1895.57,9043904.84975,1770364799999,17338426621.112106,28325,4779550.89225,9162046909.524643,0
1770364800000,1895.46,1932.48,1864.17,1929.69,8453619.51925,1770368399999,16077473865.183517,27579,4586560.60825,8733152749.451586,0
1770368400000,1895.46,1932.48,1864.17,1929.69,8453619.51925,1770371999999,16077473865.183517,27579,4586560.60825,8733152749.451586,0
1770372000000,1895.46,1932.48,1864.17,1929.69,8453619.51925,1770375599999,16077473865.183517,27579,4586560.60825,8733152749.451586,0
1770375600000,1895.46,1932.48,1864.17,1929.69,8453619.51925,1770379199999,16077473865.183517,27579,4586560.60825,8733152749.451586,0
1770379200000,1929.58,1998.21,1913.01,1978.2,10209508.74,1770382799999,19933918479.171745,30154,5587844.2565,10922206629.578157,0
1770382800000,1929.58,1998.21,1913.01,1978.2,10209508.74,1770386399999,19933918479.171745,30154,5587844.2565,10922206629.578157,0
1770386400000,1929.58,1998.21,1913.01,1978.2,10209508.74,1770389999999,19933918479.171745,30154,5587844.2565,10922206629.578157,0
1770390000000,1929.58,1998.21,1913.01,1978.2,10209508.74,1770393599999,19933918479.171745,30154,5587844.2565,10922206629.578157,0
1770393600000,1978.06,2087.56,1971.86,2063.68,10032039.97225,1770397199999,20475906044.443314,30610,6075688.496,12393495702.805164,0
1770397200000,1978.06,2087.56,1971.86,2063.68,10032039.97225,1770400799999,20475906044.443314,30610,6075688.496,12393495702.805164,0
1770400800000,1978.06,2087.56,1971.86,2063.68,10032039.97225,1770404399999,20475906044.443314,30610,6075688.496,12393495702.805164,0
1770404400000,1978.06,2087.56,1971.86,2063.68,10032039.97225,1770407999999,20475906044.443314,30610,6075688.496,12393495702.805164,0
1770408000000,2063.67,2088.52,2042.21,2061.02,7117858.68725,1770411599999,14667121098.059177,26702,3442607.66675,7102456583.907863,0
1770411600000,2063.67,2088.52,2042.21,2061.02,7117858.68725,1770415199999,14667121098.059177,26702,3442607.66675,7102456583.907863,0
1770415200000,2063.67,2088.52,2042.21,2061.02,7117858.68725,1770418799999,14667121098.059177,26702,3442607.66675,7102456583.907863,0
1770418800000,2063.67,2088.52,2042.21,2061.02,7117858.68725,1770422399999,14667121098.059177,26702,3442607.66675,7102456583.907863,0
1770422400000,2061.02,2079.84,1740.0,2078.64,5739873.327,1770425999999,11789850237.366127,23341,2951463.4325,6068217716.017315,0
1770426000000,2061.02,2079.84,1740.0,2078.64,5739873.327,1770429599999,11789850237.366127,23341,2951463.4325,6068217716.017315,0
1770429600000,2061.02,2079.84,1740.0,2078.64,5739873.327,1770433199999,11789850237.366127,23341,2951463.4325,6068217716.017315,0
1770433200000,2061.02,2079.84,1740.0,2078.64,5739873.327,1770436799999,11789850237.366127,23341,2951463.4325,6068217716.017315,0
1770436800000,2078.64,2114.0,1995.97,2026.29,6232841.269,1770440399999,12879531662.926132,21194,2949642.022,6112421351.94832,0
1770440400000,2078.64,2114.0,1995.97,2026.29,6232841.269,1770443999999,12879531662.926132,21194,2949642.022,6112421351.94832,0
1770444000000,2078.64,2114.0,1995.97,2026.29,6232841.269,1770447599999,12879531662.926132,21194,2949642.022,6112421351.94832,0
1770447600000,2078.64,2114.0,1995.97,2026.29,6232841.269,1770451199999,12879531662.926132,21194,2949642.022,6112421351.94832,0
1770451200000,2026.68,2029.09,1998.94,2016.87,5703071.92,1770454799999,11489913523.980705,24708,2748151.9765,5539957863.344398,0
1770454800000,2026.68,2029.09,1998.94,2016.87,5703071.92,1770458399999,11489913523.980705,24708,2748151.9765,5539957863.344398,0
1770458400000,2026.68,2029.09,1998.94,2016.87,5703071.92,1770461999999,11489913523.980705,24708,2748151.9765,5539957863.344398,0
1770462000000,2026.68,2029.09,1998.94,2016.87,5703071.92,1770465599999,11489913523.980705,24708,2748151.9765,5539957863.344398,0
1770465600000,2016.78,2072.33,2010.56,2049.56,7198763.7145,1770469199999,14679985249.312695,27623,4086773.32275,8335928341.069187,0
1770469200000,2016.78,2072.33,2010.56,2049.56,7198763.7145,1770472799999,14679985249.312695,27623,4086773.32275,8335928341.069187,0
1770472800000,2016.78,2072.33,2010.56,2049.56,7198763.7145,1770476399999,14679985249.312695,27623,4086773.32275,8335928341.069187,0
1770476400000,2016.78,2072.33,2010.56,2049.56,7198763.7145,1770479999999,14679985249.312695,27623,4086773.32275,8335928341.069187,0
1770480000000,2049.56,2106.07,1750.0,2088.45,8922686.8315,1770483599999,18478952039.44255,32692,4424856.1535,9162397775.81629,0
1770483600000,2049.56,2106.07,1750.0,2088.45,8922686.8315,1770487199999,18478952039.44255,32692,4424856.1535,9162397775.81629,0
1770487200000,2049.56,2106.07,1750.0,2088.45,8922686.8315,1770490799999,18478952039.44255,32692,4424856.1535,9162397775.81629,0
1770490800000,2049.56,2106.07,1750.0,2088.45,8922686.8315,1770494399999,18478952039.44255,32692,4424856.1535,9162397775.81629,0
1770494400000,2088.45,2108.72,2071.3,2089.68,9990276.6515,1770497999999,20918000773.80665,43637,3386100.797,7089945906.825908,0
1770498000000,2088.45,2108.72,2071.3,2089.68,9990276.6515,1770501599999,20918000773.80665,43637,3386100.797,7089945906.825908,0
1770501600000,2088.45,2108.72,2071.3,2089.68,9990276.6515,1770505199999,20918000773.80665,43637,3386100.797,7089945906.825908,0
1770505200000,2088.45,2108.72,2071.3,2089.68,9990276.6515,1770508799999,20918000773.80665,43637,3386100.797,7089945906.825908,0
1770508800000,2089.71,2103.8,2075.12,2076.2,8232824.483,1770512399999,17178670742.95841,37408,2775100.9455,5794698675.5377,0
1770512400000,2089.71,2103.8,2075.12,2076.2,8232824.483,1770515999999,17178670742.95841,37408,2775100.9455,5794698675.5377,0
1770516000000,2089.71,2103.8,2075.12,2076.2,8232824.483,1770519599999,17178670742.95841,37408,2775100.9455,5794698675.5377,0
1770519600000,2089.71,2103.8,2075.12,2076.2,8232824.483,1770523199999,17178670742.95841,37408,2775100.9455,5794698675.5377,0
1770523200000,2076.26,2086.29,2065.17,2082.1,5094661.57325,1770526799999,10588694663.383085,26059,2654131.07525,5517563421.18946,0
1770526800000,2076.26,2086.29,2065.17,2082.1,5094661.57325,1770530399999,10588694663.383085,26059,2654131.07525,5517563421.18946,0
1770530400000,2076.26,2086.29,2065.17,2082.1,5094661.57325,1770533999999,10588694663.383085,26059,2654131.07525,5517563421.18946,0
1770534000000,2076.26,2086.29,2065.17,2082.1,5094661.57325,1770537599999,10588694663.383085,26059,2654131.07525,5517563421.18946,0
1770537600000,2082.07,2131.92,2076.31,2129.89,6017147.5565,1770541199999,12653557839.315968,23845,3318590.43425,6983604521.50977,0
1770541200000,2082.07,2131.92,2076.31,2129.89,6017147.5565,1770544799999,12653557839.315968,23845,3318590.43425,6983604521.50977,0
1770544800000,2082.07,2131.92,2076.31,2129.89,6017147.5565,1770548399999,12653557839.315968,23845,3318590.43425,6983604521.50977,0
1770548400000,2082.07,2131.92,2076.31,2129.89,6017147.5565,1770551999999,12653557839.315968,23845,3318590.43425,6983604521.50977,0
1770552000000,2129.91,2140.56,2095.95,2105.79,5603171.257,1770555599999,11888164817.29395,23389,2743924.3835,5822885986.67977,0
1770555600000,2129.91,2140.56,2095.95,2105.79,5603171.257,1770559199999,11888164817.29395,23389,2743924.3835,5822885986.67977,0
1770559200000,2129.91,2140.56,2095.95,2105.79,5603171.257,1770562799999,11888164817.29395,23389,2743924.3835,5822885986.67977,0
1770562800000,2129.91,2140.56,2095.95,2105.79,5603171.257,1770566399999,11888164817.29395,23389,2743924.3835,5822885986.67977,0
1770566400000,2105.79,2126.18,2073.48,2124.39,7614019.6425,1770569999999,16000851499.642418,32128,4400202.76975,9257835281.380657,0
1770570000000,2105.79,2126.18,2073.48,2124.39,7614019.6425,1770573599999,16000851499.642418,32128,4400202.76975,9257835281.380657,0
1770573600000,2105.79,2126.18,2073.48,2124.39,7614019.6425,1770577199999,16000851499.642418,32128,4400202.76975,9257835281.380657,0
1770577200000,2105.79,2126.18,2073.48,2124.39,7614019.6425,1770580799999,16000851499.642418,32128,4400202.76975,9257835281.380657,0
1770580800000,2124.39,2147.2,2070.55,2088.02,7953781.5945,1770584399999,16729472107.250023,31702,4023253.2075,8466761895.825325,0
1770584400000,2124.39,2147.2,2070.55,2088.02,7953781.5945,1770587999999,16729472107.250023,31702,4023253.2075,8466761895.825325,0
1770588000000,2124.39,2147.2,2070.55,2088.02,7953781.5945,1770591599999,16729472107.250023,31702,4023253.2075,8466761895.825325,0
1770591600000,2124.39,2147.2,2070.55,2088.02,7953781.5945,1770595199999,16729472107.250023,31702,4023253.2075,8466761895.825325,0
1770595200000,2087.99,2099.29,2053.42,2098.45,8408200.14825,1770598799999,17500702994.14791,32168,3781342.3885,7872898377.67398,0
