open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1769335200000,2930.94,2941.64,2930.87,2941.64,790157.855,1769336999999,2321307211.29059,8684,785346.067,2307203700.55557,0
1769337000000,2941.62,2941.84,2937.48,2940.64,343215.254,1769338799999,1009021083.70307,7091,206107.746,606152675.92159,0
1769338800000,2940.64,2941.71,2935.85,2939.40,495245.124,1769340599999,1455282648.57113,8851,206163.888,606083575.42712,0
1769340600000,2939.40,2939.97,2927.84,2932.75,808255.169,1769342399999,2370489192.08476,8968,85960.798,252113705.01439,0
1769342400000,2932.75,2938.88,2928.31,2934.91,1171469.307,1769344199999,3436197119.44242,11925,710059.645,2083848503.64514,0
1769344200000,2934.91,2938.10,2933.08,2938.10,331647.693,1769345999999,973476272.77080,7921,182614.419,536204473.23976,0
1769346000000,2938.10,2939.96,2932.17,2932.17,624259.400,1769347799999,1832613311.30322,9057,229843.415,675108603.52670,0
1769347800000,2932.17,2939.62,2931.25,2938.69,578988.747,1769349599999,1700116232.35323,9379,492072.290,1445295025.97915,0
1769349600000,2938.69,2938.69,2920.83,2924.97,1091159.429,1769351399999,3196285839.43919,9411,74103.971,217270209.21374,0
1769351400000,2924.97,2928.88,2921.10,2928.05,680324.933,1769353199999,1989933778.35207,8892,331986.351,971640283.75778,0
1769353200000,2928.05,2931.14,2925.17,2929.68,616583.590,1769354999999,1805503069.49496,7798,362917.829,1062983280.04083,0
1769355000000,2929.70,2929.80,2920.23,2922.09,528374.020,1769356799999,1545046876.70818,6440,18948.418,55487070.97527,0
1769356800000,2922.09,2923.22,2874.99,2887.65,2330501.013,1769358599999,6751764815.10264,12319,599672.131,1735851822.75212,0
1769358600000,2887.65,2894.34,2876.28,2893.19,1444833.292,1769360399999,4171731958.69674,10077,879992.719,2543040370.92737,0
1769360400000,2893.16,2894.40,2876.48,2879.22,1520183.193,1769362199999,4383889882.85308,11283,279003.948,804599788.80967,0
1769362200000,2879.19,2887.97,2876.48,2880.25,1410514.647,1769363999999,4066009420.49501,11901,806025.058,2324341748.68120,0
